Source	Target	Size [MiB]
3	7	15
12	11	1066
5	15	541
2	19	109
3	16	1387
14	12	979
18	1	848
13	8	365
15	19	1488
12	20	27500
3	12	1325
19	12	683
6	7	2343
18	15	262
15	3	2460
15	3	434
10	19	1449
6	2	1963
14	2	270
4	6	1177
20	5	2187
16	19	596
2	7	1158
12	13	1748
12	14	115
14	8	422
13	2	1633
3	20	50075
9	14	1247
5	12	952
11	6	2310
17	19	121
7	5	311
3	8	534
17	11	86
7	19	168
5	15	2619
20	1	1065
5	6	1123
14	17	1324
5	7	2300
6	3	1571
19	20	3775
12	5	1033
14	4	781
13	18	1631
17	11	467
4	5	1009
17	10	283
14	7	478
12	19	387
9	2	1945
19	8	1076
16	14	1837
17	9	297
14	4	37
13	11	1043
5	4	1944
2	11	732
14	3	2000
10	5	2110
14	15	1225
1	11	1685
13	3	789
10	11	871
7	12	341
7	18	93
6	5	216
8	10	267
6	19	2070
9	19	1133
7	11	438
19	3	1137
4	12	912
4	17	427842
17	5	461
8	11	1835
15	7	370
11	7	275
7	4	771
2	1	2221
7	18	2199
18	7	1454
15	3	1148
2	10	874
10	12	325
5	8	1348
12	11	1009
12	16	883
5	16	1905
10	19	288
8	18	580476
18	15	1207
18	2	1867
13	4	99
6	7	2681
14	9	1490
13	17	2803
6	19	1749
13	15	2051
14	19	1042
1	2	313
18	2	2057
4	14	102
4	7	733
10	4	1346
9	13	15
5	13	117
18	13	554
2	13	1822
5	11	1292
7	8	587
5	2	1167
12	20	48775
6	19	1287
7	1	1302
9	11	787
10	4	608
9	18	1441
9	8	283
18	11	1330
6	4	49
10	2	1340
9	2	1467
15	17	1250
11	20	6150
5	3	366
9	2	313
18	6	660
19	18	2296
4	5	1714
6	16	1599
1	15	213
2	14	552
19	13	1670
19	1	954
2	19	783
8	18	185614
3	12	693
18	9	1227
20	1	830
11	17	1127
12	17	1048
13	17	990
9	10	2173
2	20	42900
10	3	2186
8	7	839
12	15	2469
5	15	2070
15	1	664
13	9	335
14	4	1906
13	10	153
3	12	1215
19	3	736
17	6	93
18	17	957
17	9	1858
4	14	154
9	12	1495
17	12	1231
9	13	304
9	15	1765
8	1	53
4	20	49824
4	15	1592
6	14	1058
3	16	1503
5	15	29
11	15	993
8	3	1755
17	6	1024
19	12	922
18	19	1216
15	7	1246
13	4	1103
3	18	2214
14	19	826
15	8	1737
9	19	550
15	10	1432
4	14	1563
4	13	2115
18	17	515
16	18	1995
15	12	1035
1	9	1427
18	5	1903
13	18	1234
7	4	585
4	8	834
20	12	124
19	16	1202
3	1	519
2	5	1542
16	19	1560
17	3	2020
5	12	1796
17	14	1909
19	1	595
7	10	1289
4	9	897
6	16	2424
16	15	364
11	5	401
8	2	560
16	13	647
9	14	973
8	3	582
11	2	111
4	16	76722
8	18	749437
7	1	72
20	17	14
2	7	946
11	18	856
2	18	103
7	20	32700
5	20	25225
10	19	977
18	9	2593
2	10	2073
3	16	1738
15	19	547
3	9	2231
14	17	102
19	7	1146
11	9	1296
9	2	607
20	4	951
19	7	712
2	20	1200475
16	1	1015
18	2	339
8	15	945
15	6	2677
10	19	1145
6	2	308
17	7	1090
5	9	482
19	2	932
5	9	1201
1	3	189
20	3	516
20	18	2136
14	19	998
7	6	985
12	7	1389
4	17	554838
17	7	229
16	13	1344
6	7	365
10	5	1007
20	18	1859
9	4	368
17	6	1584
9	10	1879
1	14	444
2	20	8650
16	6	1402
5	17	1024
19	8	93
16	5	2374
8	15	1226
7	19	1237
3	4	468
4	17	1061378
19	6	299
4	14	466
1	18	385
15	17	402
3	12	1989
4	19	1465
10	11	1089
19	16	2593
8	14	633
5	6	2155
14	4	306
3	2	212
20	10	1205
5	2	2177
9	11	956
2	16	799
17	15	139
19	18	598
19	14	487
10	4	1390
14	18	472
8	5	523
5	16	990
2	12	1020
6	4	883
5	16	104
6	7	1348
18	13	406
17	3	1073
18	13	955
17	10	208
3	20	31800
6	10	358
12	7	2478
17	19	743
2	7	509
9	8	2673
14	16	700
8	12	41470
9	7	1719
15	14	194
13	6	120
10	15	2330
17	19	1586
17	16	2544
3	1	831
8	12	36231
1	18	416
16	10	1119
4	8	589
5	17	1164
12	8	698
3	11	1778
10	2	241
13	19	393
10	13	1931
15	9	173
18	6	1550
5	2	985
10	12	739
8	15	1154
3	10	2791
12	4	892
17	14	693
19	12	247
20	1	41
16	7	1907
8	10	1291
12	6	48
14	8	53
18	5	1145
7	17	2185
4	11	62092
9	20	51325
13	17	1971
7	6	939
19	8	673
18	17	1358
10	12	1072
6	13	1045
18	15	1084
8	2	606
12	2	718
10	3	309
7	5	1037
11	12	1023
11	6	652
13	11	743
3	2	144
7	14	1051
19	10	1295
2	7	2500
12	2	1330
2	7	474
11	4	201
3	9	401
17	5	1274
5	17	608
11	4	1227
19	8	2246
17	10	636
12	13	837
3	13	712
7	4	953
4	11	510302
8	16	592
4	11	11742
9	6	763
9	15	952
14	13	1455
12	19	396
2	16	75
7	3	1326
2	18	201
13	4	1615
20	9	274
7	3	423
15	16	965
1	18	145
4	9	884
1	11	1556
3	18	1901
16	2	240
12	8	1599
16	9	269
17	15	1968
9	12	911
2	13	1205
10	11	633
4	16	8930
2	4	874
18	20	29975
3	5	1344
20	9	1115
2	18	2208
12	14	69
9	11	760
8	4	61
6	16	1274
4	16	49970
4	18	702
6	14	1509
10	11	780
14	16	870
6	5	1356
16	10	162
14	17	2212
16	7	110
11	7	798
13	17	1137
6	15	1542
10	9	668
2	6	300
9	12	2281
5	4	475
11	8	1116
2	8	1195
16	5	379
11	8	1529
7	1	173
19	4	1541
7	13	158
18	7	236
9	2	737
9	15	1443
18	4	436
19	12	650
12	4	1197
19	18	506
18	20	18600
3	11	2473
3	12	2066
15	16	1202
17	14	1143
15	14	1608
18	10	2078
4	12	767
20	4	1629
5	19	587
15	18	1009
13	15	1550
18	15	499
17	3	854
2	7	367
19	18	2123
7	16	1733
3	10	951
16	7	834
10	6	790
15	5	1909
4	1	816
5	11	1084
11	9	726
15	18	2308
19	5	249
12	11	420
14	1	466
2	14	182
8	18	399451
20	2	372
4	15	763
17	10	2704
18	13	62
13	15	1177
20	8	511
3	11	629
19	7	623
9	14	356
17	10	2006
17	9	1531
6	4	2234
17	19	1325
10	12	302
20	3	1360
17	13	375
3	11	431
19	3	1605
19	1	659
14	17	290
4	8	2077
2	1	1355
13	10	1212
11	17	2106
5	15	693
1	14	150
9	10	923
11	19	549
16	11	1714
14	17	1311
17	8	923
13	19	2077
5	3	1882
3	13	610
10	14	1980
2	6	333
4	2	594
18	12	810
9	6	211
7	17	2172
15	11	2268
7	6	1280
7	11	518
10	16	383
8	14	313
9	19	267
20	19	1607
4	9	445
8	18	952939
15	3	1726
4	2	911
19	7	416
19	10	309
6	3	1406
18	2	1310
3	13	1106
16	3	1260
7	2	2857
9	11	1007
20	12	1000
9	12	752
18	6	1748
14	7	711
13	1	1704
8	9	994
3	14	1634
17	8	1768
4	7	1898
19	20	23675
14	6	1309
13	4	1745
2	12	975
9	18	2353
9	18	2209
14	9	839
17	6	148
14	19	343
16	13	1695
19	16	462
5	19	1175
13	3	1886
15	7	288
17	3	909
15	12	676
14	6	1591
1	16	1316
11	6	1482
9	17	1148
5	11	1193
10	6	1370
12	18	1424
16	5	1024
8	1	339
13	17	434
4	14	443
12	17	547
16	12	1160
16	7	752
7	17	692
17	14	587
9	10	758
4	14	1120
20	10	2076
11	9	1222
19	1	685
6	19	1033
17	2	1899
12	11	411
8	2	1799
7	3	1410
11	7	597
14	2	151
2	17	679
3	10	1722
16	17	371
16	11	11
9	16	1196
5	17	2470
14	4	1555
2	16	1117
17	8	1055
6	11	650
15	5	532
15	20	21600
7	8	1478
12	4	813
2	14	180
15	16	1071
6	10	783
8	3	491
17	3	73
19	4	2137
6	13	236
16	9	1162
11	17	504
16	18	1342
11	14	427
8	15	22
13	6	1425
5	2	1943
5	12	886
17	12	664
6	15	89
14	3	531
18	7	1240
11	7	1225
15	10	689
16	6	1191
16	18	370
4	19	1801
8	6	851
15	6	642
16	19	566
20	11	645
14	5	1078
11	10	454
19	5	1089
3	7	607
10	11	1144
18	9	1053
13	3	1687
4	14	2546
17	7	1144
10	15	1292
10	7	188
3	10	364
16	3	692
7	8	165
9	18	1628
17	19	2271
8	20	215550
11	6	682
15	12	1841
2	9	110
15	1	540
12	6	183
7	10	1016
17	16	1776
13	2	2400
14	11	1064
15	19	1251
7	16	1741
14	6	1402
12	7	1021
13	5	212
19	20	39700
3	6	652
18	16	72
7	4	1129
13	10	916
9	15	1305
15	8	905
5	15	1494
10	19	626
15	5	663
9	12	1128
7	13	2664
20	6	178
10	9	1783
8	12	621569
4	13	2187
19	17	1698
14	6	984
4	7	1828
2	10	1229
12	13	1903
18	10	12
1	4	10
18	19	2196
13	11	281
17	9	734
16	4	1673
13	3	549
17	12	107
8	10	1020
19	2	1692
13	10	1236
4	18	1072
14	16	1055
18	13	546
19	18	42
16	3	948
19	12	889
4	11	758746
13	1	448
8	18	845
18	4	2363
17	7	722
20	10	2488
13	19	1124
4	9	839
3	17	612
13	15	1565
4	9	382
14	18	641
18	7	1105
14	11	812
10	19	547
2	16	741
7	6	1763
18	3	1072
3	19	8
10	20	11750
10	2	1621
17	15	1006
18	10	524
18	16	351
6	12	1166
2	9	779
12	7	1008
15	9	170
7	9	5
4	6	2153
3	7	477
15	10	1862
20	18	86
17	4	1544
18	11	124
5	11	651
4	9	1604
7	13	561
3	4	392
7	4	2003
5	11	598
5	11	1256
17	18	630
5	3	1799
12	2	1494
9	18	1449
13	4	104
10	12	2947
4	3	707
14	5	77
16	2	154
12	4	1426
1	19	918
4	10	1347
19	17	260
16	17	76
6	17	366
13	10	191
14	12	364
14	19	2305
7	17	415
17	11	1415
14	7	1589
18	2	1936
3	2	229
4	16	44270
16	11	1198
4	14	107
10	8	39
6	9	478
5	2	1958
16	19	1035
19	9	1702
12	15	485
7	1	75
18	12	312
2	16	683
6	7	2526
3	18	2345
14	15	933
7	20	26000
7	8	275
4	20	120288
14	11	1166
17	14	623
12	17	1057
5	7	1531
7	17	2027
12	8	395
11	8	900
16	5	1321
14	5	538
20	17	1175
17	6	757
3	18	655
16	11	1092
13	10	207
10	8	1207
10	3	569
14	17	1603
2	17	1016
1	12	227
5	19	1479
8	9	816
6	7	55
11	13	1203
18	20	42150
12	11	581
4	13	622
6	5	1427
19	16	382
8	20	1894400
14	15	160
18	6	754
7	11	1507
9	8	75
13	18	93
7	2	924
10	14	2841
8	2	284
6	2	518
13	18	1467
9	15	1833
7	17	96
1	16	1523
7	16	2200
6	20	26150
13	19	2296
11	3	1229
6	15	2313
14	6	769
11	10	1352
20	12	1179
20	14	1224
13	15	1213
5	14	1647
2	7	646
2	15	1288
15	13	194
2	20	34100
14	11	275
2	18	396
13	11	1000
3	7	718
10	7	1264
7	15	498
3	10	885
2	18	8
10	1	2085
18	10	998
17	14	663
16	5	188
9	7	143
15	5	418
5	15	328
5	14	60
14	20	43075
4	8	1288
17	12	92
19	13	407
15	4	379
14	9	800
7	14	1111
9	3	437
9	14	688
10	17	1255
10	6	1337
17	5	763
11	18	408
18	12	862
5	2	207
19	14	895
14	17	519
9	12	461
16	12	1436
15	18	276
3	14	2650
10	1	942
8	3	15
7	15	2616
18	3	875
14	15	742
3	19	577
8	6	428
14	8	509
13	6	1251
3	17	908
4	5	366
5	15	564
10	19	1738
2	4	792
15	16	470
3	16	133
8	3	368
13	3	728
12	1	882
3	10	1237
9	19	736
7	2	735
17	13	1352
14	15	348
3	4	1001
2	10	1220
18	17	398
15	12	2230
8	7	693
2	11	634
6	17	931
5	12	39
1	19	518
2	12	1659
10	14	79
4	13	656
5	20	12825
9	17	866
17	2	1787
20	3	440
14	4	2233
15	20	1575
11	16	1513
8	10	1355
9	18	981
7	20	23600
2	3	1640
5	9	1396
9	11	332
12	15	58
16	15	1935
9	8	205
18	17	218
4	12	439
3	10	1101
3	16	1413
4	10	456
6	15	47
20	17	1376
10	6	1547
2	11	70
10	12	343
17	2	1963
4	12	319
13	7	2197
14	16	774
16	18	78
15	6	689
16	15	491
1	2	1697
16	18	53
18	1	1377
18	20	11750
10	2	1492
1	11	1614
13	19	567
2	18	276
9	8	1512
5	7	678
6	12	841
15	13	782
8	16	1001034
10	9	430
6	14	1292
6	9	173
14	11	100
4	12	1554
3	2	1646
13	16	1649
3	2	2780
13	14	50
9	8	2094
19	14	2359
8	15	2341
19	15	440
16	1	1564
16	11	716
9	8	570
11	14	366
9	6	562
4	9	587
15	2	1233
15	9	1154
11	14	170
4	6	2719
18	20	9875
3	7	2705
9	20	1502208
12	15	1439
9	2	851
8	16	578
9	17	1151
8	12	254189
19	9	1551
1	6	15
1	4	1518
11	8	783
14	16	142
3	11	465
15	4	602
7	6	1383
6	11	1177
16	6	1644
14	4	666
14	2	244
16	9	1043
17	6	643
6	9	1427
19	17	449
15	3	527
14	8	1626
10	5	494
11	10	295
2	18	1656
15	7	792
11	6	1865
12	1	722
17	13	497
19	3	1348
16	14	61
20	6	1696
6	16	2104
5	17	248
9	4	125
4	2	1441
15	10	1410
6	14	1644
17	16	68
13	19	1648
11	3	2358
6	14	1840
6	12	879
11	16	824
4	5	1881
15	16	1261
19	10	1196
12	14	916
1	12	2676
11	20	31050
11	6	267
19	3	1813
6	2	1915
2	18	636
5	15	1914
19	11	797
16	18	702
6	7	1034
19	20	175
19	8	2087
17	1	840
20	18	1075
12	2	235
19	13	918
11	8	2145
10	11	942
2	17	2359
7	12	317
14	16	1056
9	6	826
19	5	1516
10	13	429
5	13	467
17	4	1192
9	7	988
17	13	808
13	4	1161
15	20	7600
1	3	1008
8	6	1764
19	7	1487
12	11	870
14	13	2103
15	14	890
6	8	922
20	17	729
2	9	845
15	2	1138
7	4	992
19	2	1826
7	4	1229
5	13	1377
7	18	352
14	1	794
8	10	559
9	19	1239
15	9	1649
2	9	1755
20	7	1289
16	10	1585
9	11	156
18	7	963
11	2	1300
9	19	1280
5	3	1698
15	7	1244
12	13	663
19	20	24850
10	3	705
6	10	999
3	19	1882
8	12	48321
15	20	7400
5	4	1570
17	5	375
10	5	1076
17	2	370
16	10	970
12	5	1747
13	12	781
15	7	1259
13	14	1068
15	9	1107
19	5	581
11	9	5
11	15	398
10	6	1384
12	5	1290
7	10	1367
13	14	97
10	2	2136
7	1	1063
13	17	645
14	6	297
16	13	2832
7	12	1176
6	12	343
6	2	1584
17	4	1849
11	16	2015
19	3	1629
8	18	696254
14	15	1182
13	1	891
20	17	1415
17	10	254
14	12	213
10	9	413
8	16	157
13	4	1469
5	14	1182
10	15	1004
6	9	2984
16	7	552
20	6	860
16	2	94
4	6	744
8	6	387
14	11	210
8	3	499
13	9	690
5	16	1365
7	19	1629
16	6	990
14	10	1778
14	10	1511
16	19	853
16	15	1364
18	4	174
7	13	1571
15	5	2281
5	6	887
18	17	173
19	14	2329
16	6	2100
20	7	105
13	7	630
5	4	1243
10	15	2600
12	3	1441
9	11	1141
17	16	192
2	7	583
6	5	766
14	2	1423
5	19	382
15	3	1078
15	9	1939
12	6	10
18	10	476
20	1	757
6	19	238
5	13	1971
18	17	464
19	7	1153
5	10	1082
16	17	1437
3	18	294
15	19	1181
13	15	139
16	15	706
14	1	813
5	7	770
9	7	629
15	19	198
9	6	431
12	2	1096
2	5	1568
12	17	1082
8	2	1565
9	14	1184
12	20	66975
15	3	1112
18	9	1186
5	18	2213
20	2	530
16	13	309
5	6	1344
3	16	658
17	15	1032
5	9	174
3	15	223
20	18	428
6	8	565
8	12	732290
15	4	334
4	13	1335
9	6	732
12	18	384
9	19	739
15	13	1119
20	8	1643
12	8	19
19	6	1055
19	5	580
3	14	351
5	17	466
3	19	1393
18	6	947
16	12	1056
19	10	223
6	19	971
5	19	462
16	2	512
19	11	1568
16	13	647
15	5	125
6	15	250
12	8	162
15	9	809
20	13	2107
2	7	201
12	18	2289
9	17	1868
7	19	182
15	18	1716
2	14	622
6	17	766
20	19	104
14	8	391
5	18	495
10	12	1335
4	18	2114
12	18	903
19	7	934
10	6	1415
14	17	128
7	1	1334
5	12	1483
12	18	95
16	7	190
8	7	635
4	5	507
5	16	1413
19	10	1169
1	15	43
9	10	503
12	20	475
10	15	954
6	11	1028
11	9	391
4	17	39064
5	4	1320
17	3	552
7	19	1784
17	16	1113
8	19	674
7	18	378
19	13	30
15	12	1341
14	7	1342
10	2	91
9	3	797
19	2	649
3	19	881
5	9	221
6	1	1776
5	10	697
5	4	613
16	17	1397
17	3	831
4	3	950
2	4	894
16	10	54
18	5	884
15	14	761
10	12	478
5	18	245
19	10	984
8	4	1457
15	8	1336
20	13	1260
11	10	1939
19	15	85
7	10	2430
7	8	1637
2	11	420
20	15	2636
18	19	1356
7	15	731
19	8	246
15	11	1300
20	8	1848
4	3	1080
11	9	1128
19	16	583
5	12	1786
10	1	734
8	17	2093
2	1	1172
19	11	659
10	5	663
18	12	711
13	6	1329
17	8	945
19	11	800
6	12	361
3	18	2532
12	15	919
6	11	2436
3	20	2349900
15	8	1106
10	8	949
5	13	1879
20	15	2751
6	12	1033
9	12	708
19	13	174
3	20	25750
6	4	1081
7	13	860
6	17	1078
10	13	1059
9	3	698
13	8	804
16	7	868
1	17	106
3	17	754
3	10	204
6	8	218
18	19	653
3	18	643
11	12	768
6	1	475
20	3	1265
9	3	1145
6	15	387
4	11	27436
2	20	16775
7	11	1559
2	19	38
16	8	1435
14	2	1402
1	19	584
3	10	1351
8	14	1173
9	2	1427
19	7	763
8	12	794625
9	8	1536
9	19	1332
18	19	582
5	10	970
15	8	2049
13	19	1375
13	18	933
17	2	884
13	15	1457
1	12	651
5	11	1251
14	11	479
15	19	112
15	12	568
5	12	525
15	3	1538
19	11	1104
16	7	447
4	18	2339
12	8	70
6	7	2067
5	4	1069
12	2	981
12	9	36
12	10	201
10	14	1844
10	7	132
15	7	895
18	17	2118
6	14	232
4	14	714
19	17	954
9	7	775
13	18	1845
17	13	269
10	13	1413
16	19	1732
9	2	896
5	9	807
5	6	1112
8	12	210730
18	12	2484
13	17	616
15	3	1323
4	6	414
16	6	535
5	19	1593
12	11	59
4	15	1747
2	9	2540
3	20	25950
11	4	255
16	10	2275
7	17	1545
9	17	60
2	7	1071
15	10	815
5	7	1272
18	11	1230
9	3	1156
14	2	668
6	18	652
11	4	491
8	15	395
16	8	1275
19	14	488
3	10	1252
5	3	549
4	9	2062
3	4	874
8	16	287
5	4	1101
8	12	25116
7	6	2114
16	18	589
20	1	1057
9	8	1176
14	19	787
18	5	886
5	12	1208
3	17	72
8	6	97
14	3	900
14	9	2366
7	2	805
6	16	168
14	7	689
4	16	460218
20	15	14
14	8	1238
18	20	16650
10	8	2072
3	9	443
4	10	258
10	7	148
13	11	1551
9	19	2196
7	6	1762
16	11	164
3	1	723
15	3	889
2	10	14
13	16	832
11	13	17
8	18	38467
6	19	782
17	10	1385
12	20	51325
13	8	947
6	4	418
9	10	1357
1	9	628
18	13	1158
6	10	833
4	11	2590232
20	10	1172
6	14	742
7	19	1583
11	10	1436
18	8	1655
16	4	472
5	13	554
4	14	979
11	7	2437
7	11	1133
2	11	129
5	17	45
12	18	1398
19	12	1650
7	8	1736
16	13	946
18	19	1197
17	6	669
8	7	514
16	8	417
7	20	11150
5	17	2209
20	9	492
18	13	302
9	5	2392
16	7	2246
18	1	880
14	7	374
9	15	868
7	11	855
12	6	1028
15	13	1433
6	11	275
10	2	1633
13	10	947
6	16	1061
2	9	1846
8	16	703
11	3	1040
8	9	1096
14	6	485
14	15	2521
17	20	17025
15	6	264
12	2	2672
2	16	673
10	7	610
16	19	927
16	10	1059
16	4	1476
5	2	887
2	6	1720
10	1	543
13	9	1309
9	17	1964
12	2	1480
5	8	684
9	20	11800
19	10	670
4	11	50312
15	2	1168
2	15	1392
8	20	714575
9	17	968
9	3	682
3	18	231
14	18	2708
4	17	22420
3	13	26
9	13	141
9	20	33775
8	16	1620016
7	8	362
9	4	1034
2	8	2701
5	11	1784
3	6	1052
6	20	34050
8	11	233
3	15	1111
14	6	2881
11	7	751
1	13	273
14	16	548
6	11	781
7	2	1407
7	14	2166
9	19	824
11	16	1705
4	10	1619
19	4	954
13	2	348
7	1	1208
6	10	1761
5	11	400
3	7	1131
14	2	168
7	8	87
11	12	573
4	5	29
12	20	2775
17	12	1325
7	12	650
7	17	1385
2	12	1732
17	13	622
10	15	842
17	6	425
4	15	360
7	17	1791
17	7	3
3	10	319
18	6	1083
13	9	2105
14	9	122
8	16	1441
12	4	394
17	10	1210
17	18	1171
16	18	1038
17	2	649
16	13	869
13	15	1183
16	11	515
16	18	1227
1	17	738
3	11	364
15	4	965
5	12	360
10	13	1079
17	16	1632
18	17	423
20	9	16
16	8	894
12	10	816
12	16	599
16	6	1752
19	4	2318
18	11	256
4	8	1476
7	9	652
14	11	323
6	17	1789
17	6	295
15	11	1631
9	11	591
11	2	672
13	19	796
18	19	326
7	12	1256
5	14	962
17	12	883
10	15	1368
15	8	1216
6	18	547
13	2	793
4	19	2140
2	9	264
1	18	1720
13	10	362
10	9	2112
11	16	2643
3	7	62
20	10	1105
2	5	2215
14	7	725
12	8	937
2	11	1433
13	17	66
7	16	1733
11	5	897
16	8	2143
7	11	1900
10	13	487
19	17	1849
17	15	524
15	7	336
10	2	719
18	2	600
16	9	489
13	7	1037
19	18	440
19	16	733
7	12	1361
13	5	1576
18	15	194
15	11	1150
5	8	1072
10	9	1119
11	14	2457
2	1	354
14	1	431
3	16	815
3	17	321
16	6	2101
6	1	1705
4	20	146688
18	2	855
8	12	11492
3	19	1472
10	13	1769
2	8	1274
7	17	922
17	3	1557
14	8	341
14	19	1085
3	18	638
1	19	307
9	8	1125
10	15	417
4	5	1214
18	9	161
10	6	998
19	15	1205
8	9	1181
10	19	1027
8	18	170521
2	17	1467
6	16	364
4	20	53088
1	7	500
10	5	1819
11	12	192
5	7	138
1	19	1342
12	3	684
13	3	1044
15	11	2135
1	3	354
17	6	1096
7	12	35
6	5	1193
6	12	464
12	9	2225
8	14	1190
19	12	1239
10	2	1363
15	11	580
11	14	530
1	10	465
15	6	1273
4	8	1163
13	6	1012
5	7	1724
3	7	2504
3	16	425
6	8	1238
15	13	605
7	13	2084
6	10	459
2	19	876
3	10	369
15	1	850
10	16	793
6	16	797
18	8	122
3	8	1052
9	16	669
7	14	2790
16	7	2817
18	14	1812
3	6	2
4	14	984
2	14	1511
12	11	2319
7	6	529
5	4	586
7	14	936
18	8	163
3	18	250
19	11	2000
16	3	796
13	7	463
5	8	237
11	16	637
14	10	913
17	2	194
6	8	2280
15	2	364
4	7	1729
2	12	1359
10	3	1283
17	16	1236
2	9	1854
2	17	830
16	15	1085
19	5	618
18	16	499
18	16	1824
8	4	364
10	5	692
5	14	463
20	10	2
3	10	327
15	14	844
8	6	164
18	9	725
2	7	345
9	20	41425
14	10	1759
19	10	103
1	20	38275
4	6	1195
7	14	225
4	3	949
7	4	144
1	9	1791
19	12	81
19	5	1055
13	8	89
7	8	332
8	14	761
19	5	1388
13	14	357
15	12	757
5	20	7300
3	9	142
18	3	887
5	3	490
13	19	188
4	19	366
19	13	45
1	17	34
17	3	1745
5	6	2426
15	16	60
20	9	727
20	3	554
9	17	359
2	16	16
9	3	947
16	18	1396
18	6	332
2	11	1943
12	20	50500
9	6	1734
13	15	294
7	8	40
19	6	1056
17	6	679
5	13	2057
17	2	64
6	5	1439
9	5	972
17	8	135
18	12	2301
11	18	1129
18	3	682
5	16	432
13	15	954
11	1	822
2	6	1445
1	12	1599
16	13	1729
16	6	1309
14	15	55
3	1	902
19	7	486
11	6	1603
6	3	971
13	7	1499
10	17	1010
13	10	1941
16	2	1289
7	14	4
9	12	1768
9	10	548
3	2	2063
5	11	162
2	18	360
12	11	777
4	9	451
3	11	2531
3	9	359
13	9	116
2	19	394
4	14	2096
19	8	705
16	13	760
7	14	230
11	16	695
7	6	464
1	3	54
11	12	1474
11	7	1636
14	2	1477
1	11	1263
2	6	325
19	13	1888
20	4	1547
17	7	1367
6	9	333
3	16	310
12	7	1070
20	9	946
6	14	1767
20	4	196
12	15	1741
9	20	23025
5	20	43425
11	20	14025
2	20	25200
6	3	1068
16	5	179
17	12	1039
14	16	1356
16	13	749
12	5	390
7	16	183
4	9	1240
2	5	987
7	19	708
10	3	1328
12	14	2547
15	8	326
20	14	2435
10	1	1816
12	5	919
12	9	852
10	17	1385
18	7	420
4	20	457248
9	13	1533
11	14	1029
7	6	2066
9	12	2009
3	17	587
2	13	1179
5	20	46225
4	13	1180
6	4	274
4	19	768
19	13	1111
17	19	83
5	19	1344
8	20	4459440
16	14	2141
9	8	903
10	3	1383
11	7	2349
4	12	321
3	7	890
16	17	731
14	16	513
10	13	2277
10	18	482
3	14	715
17	5	718
12	2	809
14	19	140
4	3	417
15	6	263
4	19	1522
1	13	755
10	3	1087
16	10	1344
3	17	933
2	8	1193
1	9	95
17	11	1412
4	16	464702
12	9	143
4	9	1442
14	18	1130
